mean_abs_fbme_d1_cgm,total_demand,total_renewables,renewable_share,hourly_d1_overloads,hourly_d1_overload_mw,sum_abs_np_diff,mean_line_loading,max_line_loading,d1_cgm_objective,d0_objective,n_ptdf_rows_raw,n_unique_cnec_idx,n_matched_lines,status,reason,strategy,t
6.735759747261357e-13,38021.6740000744,5511.002459983623,0.14494370921103683,0,0.0,8.526512829121202e-12,0.2938797847496187,0.97508057698958,1441902.8949899264,0.0,189,63,63,ok,,dynamic_gen,6032
8.706864380152273e-13,38577.358326101166,9198.425115889408,0.23844103160546942,1,8.526512829121202e-13,1.0231815394945443e-11,0.3454373332301759,1.000000000000003,1279494.8047763263,0.0,192,64,64,ok,,dynamic_gen,6033
1.4401089571605847e-12,38128.263631921145,11467.876323810337,0.3007710089952636,1,7.389644451905042e-13,5.9117155615240335e-12,0.36384280765435423,1.0000000000000027,1131874.5289395396,0.0,213,71,71,ok,,dynamic_gen,6034
8.09912547911694e-13,36770.23194616991,11693.520496679952,0.31801595686964335,0,0.0,1.3642420526593924e-12,0.34968039469571494,0.9296224099420101,1030168.657342267,0.0,267,89,89,ok,,dynamic_gen,6035
7.266453003646936e-13,35498.49132620063,11655.586700698446,0.3283403396948231,0,0.0,3.183231456205249e-12,0.3315313631797287,0.8482941205979676,957284.6143777445,0.0,267,89,89,ok,,dynamic_gen,6036
9.345134258707558e-13,33819.804344644355,11625.697900793593,0.34375414423811174,0,0.0,6.366462912410498e-12,0.33143612535200917,0.8995646856177808,878554.2372262289,0.0,288,96,96,ok,,dynamic_gen,6037
7.923908962962965e-13,33187.202635636306,11194.980843384234,0.33732824565825564,0,0.0,4.547473508864641e-12,0.32703433524908104,0.8807366073199462,875912.3848366194,0.0,291,97,97,ok,,dynamic_gen,6038
1.1914512301218162e-12,33339.53052114867,10099.85958745291,0.302939466440481,0,0.0,1.000444171950221e-11,0.307086351324935,0.7781374031771822,938692.5180856062,0.0,267,89,89,ok,,dynamic_gen,6039
7.522996892877344e-13,33423.007266089764,8848.46206183509,0.2647416491098496,0,0.0,9.094947017729282e-12,0.30423500187946656,0.9999999999999958,995491.796031442,0.0,255,85,85,ok,,dynamic_gen,6040
3.047547653692181e-12,35493.37236467121,6469.874377374302,0.18228401378433612,0,0.0,2.8705926524708048e-11,0.28223208433139574,0.901326747950094,1227782.6865962283,0.0,189,63,63,ok,,dynamic_gen,6041
