d1_cgm_objective,d0_objective,strategy,t
893463.0503933979,40362.134550806964,dynamic_gen,193
768555.4567972294,58626.23788806396,dynamic_gen,195
806140.8344200351,45362.797489712684,dynamic_gen,194
778046.4970914003,98173.03494123847,dynamic_gen,196
820878.0899610978,94244.34640074671,dynamic_gen,197
1314203.6617271705,132078.20664743567,dynamic_gen,199
1634473.935626462,133950.88484787388,dynamic_gen,201
1566274.7165826168,136970.9887429051,dynamic_gen,200
915834.6052485704,110727.60782184113,dynamic_gen,198
1571799.4385431875,139393.46267157514,dynamic_gen,203
1579852.9134788758,134648.78275390266,dynamic_gen,202
1567667.9572048793,233083.08028069005,dynamic_gen,206
1579143.921679582,205935.21128721838,dynamic_gen,204
1592582.1187409475,219918.09941087232,dynamic_gen,207
1562249.5288760634,246666.68282972774,dynamic_gen,205
1705769.409322943,329657.4291828452,dynamic_gen,210
1617352.062972847,273464.63850006077,dynamic_gen,209
1675939.1013783147,291212.35845927056,dynamic_gen,211
1617912.139237838,270429.0882319553,dynamic_gen,208
1577463.0752729378,255141.91892400317,dynamic_gen,212
1443421.3466095538,196410.1668828956,dynamic_gen,213
726412.9628124736,75420.49168621669,dynamic_gen,217
1157077.0594089334,85792.19697409678,dynamic_gen,215
928328.3119952672,76606.44844585529,dynamic_gen,216
1317008.8563382768,184107.65766554588,dynamic_gen,214
674460.734357994,76008.65188208947,dynamic_gen,218
703863.151289793,166750.00792991475,dynamic_gen,220
665741.7502218451,124496.65716605772,dynamic_gen,219
825362.260659633,155539.9585557992,dynamic_gen,221
990466.1990001781,162074.97341351042,dynamic_gen,222
1382773.8119351594,247243.97917477766,dynamic_gen,223
1647730.9905274832,442968.7468521033,dynamic_gen,224
1718705.9259854853,424876.47774817474,dynamic_gen,225
1675789.321903651,214266.334643516,dynamic_gen,227
1696406.4078752869,232208.749558976,dynamic_gen,226
1623042.2432670863,200914.57572310488,dynamic_gen,228
1630506.1650440125,272168.1484854212,dynamic_gen,230
1639758.181229649,282477.0804765066,dynamic_gen,231
1830861.0598000514,297840.05780839536,dynamic_gen,234
1606780.910758942,163322.4820224317,dynamic_gen,229
1674660.5142098349,420824.92009331763,dynamic_gen,232
1708057.6223003312,394355.77958916186,dynamic_gen,233
1848440.809315172,224985.3339844505,dynamic_gen,235
1765475.3854416083,162712.22295004272,dynamic_gen,236
1613168.3886451353,126102.93829432898,dynamic_gen,237
1419962.9575332305,95663.63871670412,dynamic_gen,239
1541542.3811863482,104549.78440868793,dynamic_gen,238
879288.5876054908,52366.231798741224,dynamic_gen,242
1133931.4749605807,125584.9133482672,dynamic_gen,240
863445.1625344015,50882.949492023676,dynamic_gen,243
961537.1088480606,57640.07163360871,dynamic_gen,241
926299.3423603225,57650.64515023834,dynamic_gen,245
879342.8301069151,50876.654392210505,dynamic_gen,244
1305386.6452088542,162500.20764927648,dynamic_gen,247
1016029.9270249584,69993.23169250843,dynamic_gen,246
1583209.2692890926,183139.35630633275,dynamic_gen,249
1552032.2106869281,164811.94712065195,dynamic_gen,248
1339624.793885509,134630.14426994417,dynamic_gen,251
1405212.5358022526,104939.16479449501,dynamic_gen,250
1231668.086077433,156853.26996703824,dynamic_gen,252
1532282.0735997518,319082.2177645931,dynamic_gen,257
1196669.9085029126,169645.34952110023,dynamic_gen,253
1256312.19016265,149640.67502737115,dynamic_gen,254
1624637.9303563891,289928.1834555508,dynamic_gen,258
1598998.253869974,284937.3101675406,dynamic_gen,259
1447228.5196979218,324386.4279231103,dynamic_gen,256
1308592.0629229625,156761.95232955072,dynamic_gen,255
1510722.9833325408,296074.934086237,dynamic_gen,260
1307684.6856371402,326200.500141678,dynamic_gen,261
1227217.0125807528,302782.53404438123,dynamic_gen,262
1075047.952352314,111766.35170076229,dynamic_gen,263
840250.5586484653,128567.91280410987,dynamic_gen,264
708113.2627888548,75354.13602678938,dynamic_gen,269
675691.6300683126,110342.64046053743,dynamic_gen,265
632187.3037679754,77477.76378688995,dynamic_gen,266
634323.2750360377,70090.77166781347,dynamic_gen,267
1129743.051777495,88607.80648308762,dynamic_gen,271
664544.9983767442,70139.66734039172,dynamic_gen,268
1363031.6248275216,241086.84333709843,dynamic_gen,272
794510.6752710723,79529.16057518593,dynamic_gen,270
