mean_abs_fbme_d1_cgm,strategy,t
69.48978818996713,dynamic_gen,7465
4.76910210289368,dynamic_gen,7466
8.750395546964536e-13,dynamic_gen,7467
7.683895434470722e-13,dynamic_gen,7468
2.937963370278192e-12,dynamic_gen,7469
39.484723328009984,dynamic_gen,7470
50.397196275774704,dynamic_gen,7471
37.73323370978567,dynamic_gen,7472
104.58502445001295,dynamic_gen,7473
93.66254764247984,dynamic_gen,7474
99.96387705822765,dynamic_gen,7475
57.032642182468265,dynamic_gen,7476
52.612787967528575,dynamic_gen,7477
60.13615047678582,dynamic_gen,7478
55.13990048549288,dynamic_gen,7479
28.255584232246182,dynamic_gen,7480
31.530053181072578,dynamic_gen,7481
48.257027825386956,dynamic_gen,7482
42.59021651955934,dynamic_gen,7483
59.44966186822939,dynamic_gen,7484
1.7632362491811004e-11,dynamic_gen,7485
5.449352368537758e-13,dynamic_gen,7486
8.300388432439121e-13,dynamic_gen,7487
2.5082374843162682e-12,dynamic_gen,7488
1.6445256918419602,dynamic_gen,7489
51.181715964384104,dynamic_gen,7490
44.06283923601869,dynamic_gen,7491
1.8744295970694609,dynamic_gen,7492
9.62257615226959e-13,dynamic_gen,7493
1.1989412693203314e-12,dynamic_gen,7494
24.43626300967694,dynamic_gen,7495
30.803696697142687,dynamic_gen,7496
38.506313624863594,dynamic_gen,7497
32.96559068081215,dynamic_gen,7498
32.68035712952919,dynamic_gen,7499
27.966331099782376,dynamic_gen,7500
21.226735735488102,dynamic_gen,7501
22.196736962956034,dynamic_gen,7502
24.06139171776244,dynamic_gen,7503
32.169234101042015,dynamic_gen,7504
39.31158961764481,dynamic_gen,7505
43.89134143241614,dynamic_gen,7506
40.25339115063332,dynamic_gen,7507
33.25071898623096,dynamic_gen,7508
26.06384755419583,dynamic_gen,7509
27.96050585162449,dynamic_gen,7510
52.03966197954057,dynamic_gen,7511
77.46313665084556,dynamic_gen,7512
94.78512708586325,dynamic_gen,7513
85.64820773510823,dynamic_gen,7514
76.9456595806963,dynamic_gen,7515
64.84618430822437,dynamic_gen,7516
48.69813110991893,dynamic_gen,7517
41.20553781959011,dynamic_gen,7518
66.39409191441602,dynamic_gen,7519
54.58416481940038,dynamic_gen,7520
40.46458568520964,dynamic_gen,7521
34.10948904911803,dynamic_gen,7522
34.62610258475474,dynamic_gen,7523
27.623079791989767,dynamic_gen,7524
29.883983340871158,dynamic_gen,7525
27.13008972895387,dynamic_gen,7526
29.777121086377395,dynamic_gen,7527
42.568719241832866,dynamic_gen,7528
64.11232245821766,dynamic_gen,7529
59.32392961380407,dynamic_gen,7530
45.578150523131555,dynamic_gen,7531
16.26471208134252,dynamic_gen,7532
2.1826885780290315,dynamic_gen,7533
7.851449551809502e-13,dynamic_gen,7534
1.7861953761277844e-12,dynamic_gen,7535
1.0405989667250272e-12,dynamic_gen,7536
9.452016194943729e-13,dynamic_gen,7537
2.0524655722445716e-12,dynamic_gen,7538
6.456393611655411e-13,dynamic_gen,7539
7.711970381502435e-13,dynamic_gen,7540
7.824394491268808e-13,dynamic_gen,7541
6.08959959132591e-13,dynamic_gen,7542
1.1850986730552038e-12,dynamic_gen,7543
7.376236258186178e-13,dynamic_gen,7544
4.540007672561953,dynamic_gen,7545
11.283102014113787,dynamic_gen,7546
21.50540859306555,dynamic_gen,7547
9.426492323507633,dynamic_gen,7548
1.2675042150037883e-11,dynamic_gen,7549
2.965796080923553e-11,dynamic_gen,7550
3.3720524965479366,dynamic_gen,7551
16.686417598727964,dynamic_gen,7552
42.70035356222362,dynamic_gen,7553
43.17153515219929,dynamic_gen,7554
29.3607711996309,dynamic_gen,7555
3.983026855555213e-13,dynamic_gen,7556
3.867146769913298e-12,dynamic_gen,7557
1.938928807567507e-11,dynamic_gen,7558
3.0823095519759653e-13,dynamic_gen,7559
6.975087008964096e-13,dynamic_gen,7560
1.485602786132698e-12,dynamic_gen,7561
1.6706764333690157e-12,dynamic_gen,7562
1.93721358209102e-12,dynamic_gen,7563
7.553526263540235e-13,dynamic_gen,7564
8.977273981835975e-13,dynamic_gen,7565
9.653322005374402e-13,dynamic_gen,7566
7.129754677668295e-13,dynamic_gen,7567
6.396502957205686e-13,dynamic_gen,7568
6.57768998012175e-13,dynamic_gen,7569
5.962007535833122e-13,dynamic_gen,7570
7.761339973577788e-13,dynamic_gen,7571
1.7500487093810891e-12,dynamic_gen,7572
5.885529520094706e-13,dynamic_gen,7573
4.648542253748497e-13,dynamic_gen,7574
6.7037208927624525e-12,dynamic_gen,7575
4.976783764535836e-13,dynamic_gen,7576
2.6110256241937715,dynamic_gen,7577
4.142010356078705,dynamic_gen,7578
19.874703324873533,dynamic_gen,7579
25.517000383298175,dynamic_gen,7580
10.53046496356065,dynamic_gen,7581
4.3716412949451427e-13,dynamic_gen,7582
1.1939253490282655e-11,dynamic_gen,7583
