t,line,overload_mw,strategy
26,291,62.88950810565257,NO_SCOPF_50%_pmax_sub
26,292,68.41292941087124,NO_SCOPF_50%_pmax_sub
27,58,68.60287491837238,NO_SCOPF_50%_pmax_sub
27,77,31.11326871553638,NO_SCOPF_50%_pmax_sub
27,78,50.33328899999992,NO_SCOPF_50%_pmax_sub
27,79,82.76328899999999,NO_SCOPF_50%_pmax_sub
27,86,94.83187209398784,NO_SCOPF_50%_pmax_sub
27,88,140.56481968825392,NO_SCOPF_50%_pmax_sub
27,89,69.4163002888888,NO_SCOPF_50%_pmax_sub
27,94,61.16914282831203,NO_SCOPF_50%_pmax_sub
27,95,30.550236786176356,NO_SCOPF_50%_pmax_sub
27,97,161.50591277593912,NO_SCOPF_50%_pmax_sub
27,101,24.456495670220193,NO_SCOPF_50%_pmax_sub
27,102,13.426891873751629,NO_SCOPF_50%_pmax_sub
27,109,74.50723872016226,NO_SCOPF_50%_pmax_sub
27,114,9.57325924135921,NO_SCOPF_50%_pmax_sub
27,120,36.83565293811,NO_SCOPF_50%_pmax_sub
27,121,78.28565293811027,NO_SCOPF_50%_pmax_sub
27,145,241.66496059247936,NO_SCOPF_50%_pmax_sub
27,146,44.291153342887924,NO_SCOPF_50%_pmax_sub
27,163,24.255519017995994,NO_SCOPF_50%_pmax_sub
27,175,82.76328899999999,NO_SCOPF_50%_pmax_sub
27,176,50.33328899999992,NO_SCOPF_50%_pmax_sub
27,187,9.57325924135921,NO_SCOPF_50%_pmax_sub
27,188,45.504464750913144,NO_SCOPF_50%_pmax_sub
27,213,31.11326871553638,NO_SCOPF_50%_pmax_sub
27,216,92.46564669039049,NO_SCOPF_50%_pmax_sub
27,217,140.56481968825392,NO_SCOPF_50%_pmax_sub
27,218,69.4163002888888,NO_SCOPF_50%_pmax_sub
27,220,30.550236786176356,NO_SCOPF_50%_pmax_sub
27,222,24.456495670220193,NO_SCOPF_50%_pmax_sub
27,223,13.426891873751629,NO_SCOPF_50%_pmax_sub
27,232,0.596530915766607,NO_SCOPF_50%_pmax_sub
27,239,45.504464750913144,NO_SCOPF_50%_pmax_sub
27,240,116.39446963132741,NO_SCOPF_50%_pmax_sub
27,241,116.39446963132741,NO_SCOPF_50%_pmax_sub
27,271,61.16914282831203,NO_SCOPF_50%_pmax_sub
27,274,108.9096660781629,NO_SCOPF_50%_pmax_sub
27,286,36.83565293811,NO_SCOPF_50%_pmax_sub
27,291,74.50723872016226,NO_SCOPF_50%_pmax_sub
27,292,78.28565293811027,NO_SCOPF_50%_pmax_sub
28,58,70.93790353233726,NO_SCOPF_50%_pmax_sub
28,77,33.29341343424221,NO_SCOPF_50%_pmax_sub
28,78,54.20802949999984,NO_SCOPF_50%_pmax_sub
28,79,87.9180295000001,NO_SCOPF_50%_pmax_sub
28,86,100.03639021274921,NO_SCOPF_50%_pmax_sub
28,88,146.2715743992526,NO_SCOPF_50%_pmax_sub
28,89,74.95278858530105,NO_SCOPF_50%_pmax_sub
28,94,62.57864671162315,NO_SCOPF_50%_pmax_sub
28,95,35.53900047266825,NO_SCOPF_50%_pmax_sub
28,97,168.66089325834605,NO_SCOPF_50%_pmax_sub
28,101,27.047154571594092,NO_SCOPF_50%_pmax_sub
28,102,15.662302506011656,NO_SCOPF_50%_pmax_sub
28,109,94.57383941332876,NO_SCOPF_50%_pmax_sub
28,114,15.109406763180687,NO_SCOPF_50%_pmax_sub
28,120,55.73085379623001,NO_SCOPF_50%_pmax_sub
28,121,98.81585379623004,NO_SCOPF_50%_pmax_sub
28,145,261.44423329710605,NO_SCOPF_50%_pmax_sub
28,146,55.31628506948812,NO_SCOPF_50%_pmax_sub
28,163,30.240611250769746,NO_SCOPF_50%_pmax_sub
28,175,87.9180295000001,NO_SCOPF_50%_pmax_sub
28,176,54.20802949999984,NO_SCOPF_50%_pmax_sub
28,187,15.109406763180687,NO_SCOPF_50%_pmax_sub
28,188,61.03125136642757,NO_SCOPF_50%_pmax_sub
28,213,33.29341343424221,NO_SCOPF_50%_pmax_sub
28,216,97.63265580800407,NO_SCOPF_50%_pmax_sub
28,217,146.2715743992526,NO_SCOPF_50%_pmax_sub
28,218,74.95278858530105,NO_SCOPF_50%_pmax_sub
28,220,35.53900047266825,NO_SCOPF_50%_pmax_sub
28,222,27.047154571594092,NO_SCOPF_50%_pmax_sub
28,223,15.662302506011656,NO_SCOPF_50%_pmax_sub
28,232,1.6833723037545951,NO_SCOPF_50%_pmax_sub
28,239,61.03125136642757,NO_SCOPF_50%_pmax_sub
28,240,120.31601259435593,NO_SCOPF_50%_pmax_sub
28,241,120.31601259435593,NO_SCOPF_50%_pmax_sub
28,271,62.57864671162315,NO_SCOPF_50%_pmax_sub
28,274,114.3373429838689,NO_SCOPF_50%_pmax_sub
28,286,55.73085379623001,NO_SCOPF_50%_pmax_sub
28,291,94.57383941332876,NO_SCOPF_50%_pmax_sub
28,292,98.81585379623004,NO_SCOPF_50%_pmax_sub
29,58,72.99930473329783,NO_SCOPF_50%_pmax_sub
29,77,32.634117382121076,NO_SCOPF_50%_pmax_sub
29,78,56.81591249999997,NO_SCOPF_50%_pmax_sub
29,79,92.30591249999998,NO_SCOPF_50%_pmax_sub
29,86,102.06029396496592,NO_SCOPF_50%_pmax_sub
29,88,149.4295398325612,NO_SCOPF_50%_pmax_sub
29,89,78.7710023142065,NO_SCOPF_50%_pmax_sub
29,94,63.96430921557476,NO_SCOPF_50%_pmax_sub
29,95,39.22753697136568,NO_SCOPF_50%_pmax_sub
29,97,174.6382153872346,NO_SCOPF_50%_pmax_sub
29,101,29.105997456550995,NO_SCOPF_50%_pmax_sub
29,102,17.95828595797775,NO_SCOPF_50%_pmax_sub
29,109,106.47009179298402,NO_SCOPF_50%_pmax_sub
29,114,4.34913449285466,NO_SCOPF_50%_pmax_sub
29,120,62.60640054166072,NO_SCOPF_50%_pmax_sub
29,121,107.96640054165994,NO_SCOPF_50%_pmax_sub
29,145,274.0879705770941,NO_SCOPF_50%_pmax_sub
29,146,65.38162034494837,NO_SCOPF_50%_pmax_sub
29,163,35.376499739042345,NO_SCOPF_50%_pmax_sub
