t,total_demand_fbmc,total_renewables_fbmc,renewable_share_fbmc,mean_loading_d1,high_loading_share_d1,n_high_loading_lines_d1,n_lines_total_d1,demand_bin,renewables_bin,congestion_bin,strategy
6199,16509.590000000004,6632.12207195597,0.4017133115938051,0.2795076636757291,0.0036900369003690036,1,271,low,high,low,dynamic_gen
6200,17557.170000000002,7447.762210582038,0.4242006092429496,0.2932963577525912,0.0036900369003690036,1,271,mid,high,low,dynamic_gen
6201,18445.359999999993,8304.801100823437,0.45023795148608864,0.30723509042922,0.0036900369003690036,1,271,mid,high,low,dynamic_gen
6202,18766.48,9148.910029618866,0.4875133764892972,0.3142708610741032,0.0036900369003690036,1,271,mid,high,low,dynamic_gen
6203,18307.19,9643.473748904249,0.5267588171043317,0.32269383219149494,0.007380073800738007,2,271,mid,high,low,dynamic_gen
6204,18086.859999999986,9494.380663392945,0.524932501461998,0.32899357137410346,0.0036900369003690036,1,271,mid,high,low,dynamic_gen
6205,17723.730000000003,9836.03070054867,0.554963921282296,0.32427380608250717,0.0,0,271,mid,high,low,dynamic_gen
6206,16915.850000000006,10891.97481731515,0.6438916647590955,0.31759582932311947,0.0036900369003690036,1,271,mid,high,low,dynamic_gen
6207,16410.02,9259.697327927213,0.5642709349487212,0.29041722949316834,0.0036900369003690036,1,271,low,high,low,dynamic_gen
6208,16462.8,8591.393928935824,0.5218671142779979,0.2899277413943482,0.0036900369003690036,1,271,low,high,low,dynamic_gen
6209,17018.699999999993,9541.68348324847,0.560658774362817,0.3068711832142747,0.0036900369003690036,1,271,mid,high,low,dynamic_gen
6210,17653.09,9185.472310240237,0.5203322653563901,0.3380468155835677,0.0036900369003690036,1,271,mid,high,low,dynamic_gen
6211,18204.090000000004,9616.6071,0.5282662907071981,0.3719301644715587,0.014760147601476014,4,271,mid,high,mid,dynamic_gen
6212,18110.439999999995,10192.600874999998,0.562802498172325,0.3912247762991935,0.025830258302583026,7,271,mid,high,mid,dynamic_gen
6213,17354.200000000004,10380.988948499999,0.5981830881573335,0.39678544441104313,0.03690036900369004,10,271,mid,high,mid,dynamic_gen
6214,16145.840000000004,10438.580257499998,0.6465182522247214,0.39346164376005327,0.04428044280442804,12,271,low,high,mid,dynamic_gen
6215,15444.619999999997,10443.915585,0.6762170636117951,0.38754052572034875,0.04797047970479705,13,271,low,high,mid,dynamic_gen
6216,14471.620000000006,10236.8033115,0.7073709309324039,0.37519344812429856,0.04797047970479705,13,271,low,high,mid,dynamic_gen
6217,13412.339999999997,9935.801715000001,0.7407955446253229,0.36680653411734543,0.04797047970479705,13,271,low,high,mid,dynamic_gen
6218,13046.94000000001,9608.846299499999,0.7364827537721482,0.3588095423518033,0.04428044280442804,12,271,low,high,mid,dynamic_gen
6219,12499.189999999995,9405.146389500002,0.7524604705984952,0.36874186691382704,0.04797047970479705,13,271,low,high,mid,dynamic_gen
6220,12447.440000000006,9325.108647000003,0.7491587544908831,0.36763548245304245,0.04797047970479705,13,271,low,high,mid,dynamic_gen
6221,12417.070000000005,9247.8121665,0.7447660491967909,0.3659122738902177,0.04797047970479705,13,271,low,high,mid,dynamic_gen
6222,12554.56,9135.043501489496,0.7276275314698003,0.36440083448035215,0.04428044280442804,12,271,low,high,mid,dynamic_gen
6223,12894.350000000002,9052.778311643695,0.7020732577945917,0.35922766107261445,0.04428044280442804,12,271,low,high,mid,dynamic_gen
6224,13852.91,9523.680267311232,0.6874858977147208,0.36266892994942257,0.025830258302583026,7,271,low,high,mid,dynamic_gen
6225,14575.41,10267.254856001151,0.7044230560924977,0.3724094539230268,0.033210332103321034,9,271,low,high,mid,dynamic_gen
6226,14625.499999999996,10882.995361719706,0.7441109952972349,0.37383985798463415,0.025830258302583026,7,271,low,high,mid,dynamic_gen
6227,14577.359999999997,11658.28974894734,0.7997531616799848,0.37575570271717856,0.025830258302583026,7,271,low,high,mid,dynamic_gen
6228,14425.499999999996,11914.246369548266,0.8259156611242777,0.37618289175603903,0.025830258302583026,7,271,low,high,mid,dynamic_gen
6229,13646.989999999994,11191.465879375268,0.8200684458166433,0.36641068392859916,0.025830258302583026,7,271,low,high,mid,dynamic_gen
6230,13157.9,11232.634933320736,0.8536799134604106,0.3694200514432014,0.033210332103321034,9,271,low,high,mid,dynamic_gen
6231,13340.540000000005,10914.780752140266,0.8181663375050982,0.37037338367114925,0.04797047970479705,13,271,low,high,mid,dynamic_gen
6232,13975.39000000001,10526.81822892841,0.7532396755245043,0.35341638195034386,0.025830258302583026,7,271,low,high,mid,dynamic_gen
6233,15020.660000000003,8970.647009456585,0.597220562176135,0.3428961043380003,0.0036900369003690036,1,271,low,high,low,dynamic_gen
6234,16345.23,6953.336462893463,0.42540462648084265,0.3497290358064343,0.0036900369003690036,1,271,low,high,low,dynamic_gen
6235,17421.949999999997,6540.7350044999985,0.37543070692431096,0.37949015744990255,0.025830258302583026,7,271,mid,high,mid,dynamic_gen
6236,18341.920000000006,6556.09881,0.35743797868489224,0.38865039693861436,0.033210332103321034,9,271,mid,mid,mid,dynamic_gen
6237,17486.180000000008,6576.406505999999,0.3760916624442844,0.37644003966866574,0.025830258302583026,7,271,mid,high,mid,dynamic_gen
6238,16428.049999999996,6606.690366,0.40215913428556654,0.3500914433740399,0.0036900369003690036,1,271,low,high,low,dynamic_gen
6239,15087.789999999999,6505.082179500001,0.43114877523480916,0.3357495874731962,0.0036900369003690036,1,271,low,high,low,dynamic_gen
6240,14489.29,6208.4427104999995,0.4284849506428541,0.33580151942386877,0.007380073800738007,2,271,low,high,low,dynamic_gen
6241,13887.260000000002,5772.1707585,0.41564504146246267,0.33173464321569773,0.0036900369003690036,1,271,low,high,low,dynamic_gen
6242,13648.240000000003,5251.7869439999995,0.3847959109746017,0.3152755252430569,0.0036900369003690036,1,271,low,high,low,dynamic_gen
6243,13449.230000000001,4683.242817,0.3482164270370869,0.2923481131779158,0.007380073800738007,2,271,low,mid,low,dynamic_gen
6244,14108.630000000006,4088.4207885000005,0.28978155841495584,0.2678608921577526,0.0036900369003690036,1,271,low,mid,low,dynamic_gen
6245,15715.359999999997,3714.5080034999996,0.2363616235008298,0.2791674253759953,0.0036900369003690036,1,271,low,mid,low,dynamic_gen
6246,19622.589999999997,3520.14630782722,0.17939254236200322,0.35141061787607214,0.04059040590405904,11,271,mid,mid,mid,dynamic_gen
6247,21519.420000000002,3855.03143819844,0.17914197679112354,0.3696722381242329,0.05166051660516605,14,271,high,mid,high,dynamic_gen
6248,22152.53,5836.410081431687,0.2634647185414798,0.372193385460216,0.08856088560885608,24,271,high,mid,high,dynamic_gen
6249,22037.30000000001,8181.740424048634,0.3712678242819506,0.3656968593572444,0.07380073800738007,20,271,high,high,high,dynamic_gen
6250,21984.279999999984,9143.012953033754,0.4158886692233615,0.3680229857579568,0.06642066420664207,18,271,high,high,high,dynamic_gen
6251,22190.860000000015,8895.900126115348,0.40088126941070973,0.36180696405597923,0.06273062730627306,17,271,high,high,high,dynamic_gen
