t,d2_objective,d1_mc_objective,n_total_candidates,n_initial_active,n_final_active,n_binding_final,n_screening_iterations
6964,1565399.856744618,1565399.8570446176,17627,65,65,0,1
6965,1667421.3164795735,1667421.3167795734,17627,65,65,0,1
6966,1989658.3631892262,1989658.363489227,17627,65,65,0,1
6967,2258590.3879533466,2258590.3882533466,17627,65,65,0,1
6968,2278341.915116317,2278341.915416317,17627,65,65,0,1
6969,2198910.2666682396,2198910.2669682396,17627,65,65,0,1
6970,2160207.852991013,2160287.471380225,17627,65,67,2,2
6971,2027695.000721213,2028090.208589075,17627,65,69,2,2
6972,1962913.5746659585,1963344.6668895856,17627,65,67,2,2
6973,2038567.4369952169,2038673.538041275,17627,65,67,2,2
6974,2132441.0979595305,2132466.703812513,17627,65,67,2,2
6975,2239009.1563485274,2239009.1566485274,17627,65,65,0,1
6976,2218626.003962946,2218626.004262946,17627,65,65,0,1
6977,2277202.936624255,2277202.936924255,17627,65,65,0,1
6978,2463934.8279668083,2463934.828266812,17627,65,65,0,1
6979,2527984.9064633204,2527984.9067633203,17627,65,65,0,1
6980,2260180.799371342,2260180.799671342,17627,65,65,0,1
6981,2121251.3398112543,2121251.3401112542,17627,65,65,0,1
6982,1890229.0347814665,1890229.0350814664,17627,65,65,0,1
6983,1586594.6459764822,1586594.6462764821,17627,65,65,0,1
6984,1401098.6869733653,1401098.6872621858,17627,65,65,0,1
6985,1342971.9354730153,1342971.935727473,17627,65,65,0,1
6986,1309482.9661476333,1309482.96638976,17627,65,65,0,1
6987,1299958.2782664557,1299958.278517728,17627,65,65,0,1
6988,1365992.7297557993,1365992.7300549652,17627,65,65,0,1
6989,1520544.2181063988,1520544.2184063985,17627,65,65,0,1
6990,1854156.1992258502,1854156.1995258504,17627,65,65,0,1
6991,2156199.9764802326,2156199.9767802325,17627,65,65,0,1
6992,2194621.8486208804,2194621.848920881,17627,65,65,0,1
6993,2056877.0111220132,2056877.0114220134,17627,65,65,0,1
6994,1962422.8154982347,1962422.8157982347,17627,65,65,0,1
6995,1895765.5570502742,1895765.5573502742,17627,65,65,0,1
6996,1865330.6151929726,1865330.6154929725,17627,65,65,0,1
6997,1854253.2093196246,1854253.2096196248,17627,65,65,0,1
6998,1887941.9311979678,1887941.931497968,17627,65,65,0,1
6999,1992236.4740462727,1992236.474346273,17627,65,65,0,1
7000,2077901.877998673,2077901.8782986733,17627,65,65,0,1
7001,2249122.672582218,2249122.672882218,17627,65,65,0,1
7002,2427736.974889526,2427736.975189529,17627,65,65,0,1
7003,2541403.484973658,2541403.4852736574,17627,65,65,0,1
7004,2311185.007415373,2311185.007715373,17627,65,65,0,1
7005,2139992.6737636346,2139992.6740636346,17627,65,65,0,1
7006,1968267.7045274833,1968267.7048274835,17627,65,65,0,1
7007,1756654.258150451,1756654.2584504504,17627,65,65,0,1
7008,1577890.5449785967,1577890.5452785962,17627,65,65,0,1
7009,1506641.2042654117,1506641.2045654117,17627,65,65,0,1
7010,1426010.1926159756,1426010.1928933512,17627,65,65,0,1
7011,1431871.5691868365,1431871.5694688233,17627,65,65,0,1
7012,1497448.2470357185,1497448.2473357185,17627,65,65,0,1
7013,1638161.7313013575,1638161.7316013575,17627,65,65,0,1
7014,1963268.1739356809,1963268.1742356808,17627,65,65,0,1
7015,2301651.1708928747,2301651.1711928765,17627,65,65,0,1
7016,2296024.4504803373,2296024.450780337,17627,65,65,0,1
7017,2164282.503352655,2164282.503652655,17627,65,65,0,1
7018,2083839.602104261,2083839.602404261,17627,65,65,0,1
7019,1987356.5491724545,1987360.8243718797,17627,65,67,2,2
7020,1954328.2376250117,1954341.7786229446,17627,65,67,2,2
7021,1943927.0587611515,1943948.901776335,17627,65,67,2,2
7022,1930585.614360514,1930586.8507885453,17627,65,67,2,2
7023,1987029.5877262186,1987029.5880262186,17627,65,65,0,1
7024,2018521.3634180755,2018521.3637180754,17627,65,65,0,1
7025,2207260.541073663,2207260.541373663,17627,65,65,0,1
7026,2396853.131104485,2396853.13140449,17627,65,65,0,1
7027,2484415.243457022,2484415.243757023,17627,65,65,0,1
7028,2209655.6569453743,2209655.6572453743,17627,65,65,0,1
7029,2052196.4960031009,2052196.496303101,17627,65,65,0,1
7030,1882518.81915859,1882518.81945859,17627,65,65,0,1
7031,1732865.7666318333,1732865.7669318325,17627,65,65,0,1
7032,1544606.791828299,1544606.792128299,17627,65,65,0,1
7033,1412886.3105017538,1412886.3108006646,17627,65,65,0,1
