t,contingency_idx,active_rows,binding_rows,has_binding,has_near_binding,min_upper_slack,min_lower_slack,min_abs_slack
24,243,1,1,True,True,2891.2537499999994,1.4210854715202004e-13,1.4210854715202004e-13
26,99,1,0,False,False,50.10034550169652,2841.153404498303,50.10034550169652
26,105,1,0,False,False,2839.364524385856,51.88922561414344,51.88922561414344
26,106,1,1,True,True,2891.2537499999994,1.4210854715202004e-13,1.4210854715202004e-13
26,166,1,0,False,False,50.10034550169652,2841.153404498303,50.10034550169652
26,237,1,0,False,False,2839.364524385856,51.88922561414344,51.88922561414344
26,243,1,1,True,True,2891.2537499999994,1.4210854715202004e-13,1.4210854715202004e-13
25,99,1,1,True,True,0.0,2891.2537499999994,0.0
25,105,1,0,False,False,2765.677988793153,125.5757612068468,125.5757612068468
25,106,1,0,False,False,2809.0782923955326,82.17545760446643,82.17545760446643
25,166,1,1,True,True,0.0,2891.2537499999994,0.0
25,237,1,0,False,False,2765.677988793153,125.5757612068468,125.5757612068468
25,243,1,0,False,False,2809.0782923955326,82.17545760446643,82.17545760446643
27,99,1,0,False,False,52.06503917284431,2839.188710827155,52.06503917284431
27,105,1,0,False,False,2819.950405211422,71.30334478857702,71.30334478857702
27,106,1,1,True,True,2891.253749999999,2.842170943040401e-14,2.842170943040401e-14
27,166,1,0,False,False,52.06503917284431,2839.188710827155,52.06503917284431
27,237,1,0,False,False,2819.950405211422,71.30334478857702,71.30334478857702
27,243,1,1,True,True,2891.253749999999,2.842170943040401e-14,2.842170943040401e-14
28,55,1,0,False,False,29.39780147311746,2861.855948526882,29.39780147311746
28,99,1,0,False,False,17.036294357339045,2874.2174556426608,17.036294357339045
28,105,1,0,False,False,2814.6933939054816,76.56035609451794,76.56035609451794
28,106,1,1,True,True,2891.2537499999994,0.0,0.0
28,166,1,0,False,False,17.036294357339045,2874.2174556426608,17.036294357339045
28,237,1,0,False,False,2814.6933939054816,76.56035609451794,76.56035609451794
28,243,1,1,True,True,2891.2537499999994,0.0,0.0
29,55,1,0,False,False,15.518323302328795,2875.7354266976704,15.518323302328795
29,99,1,1,True,True,1.7053025658242404e-13,2891.253749999999,1.7053025658242404e-13
29,105,1,0,False,False,2813.3593024816505,77.89444751834901,77.89444751834901
29,106,1,1,True,True,2891.2537499999994,2.842170943040401e-14,2.842170943040401e-14
29,166,1,1,True,True,1.7053025658242404e-13,2891.253749999999,1.7053025658242404e-13
29,237,1,0,False,False,2813.3593024816505,77.89444751834901,77.89444751834901
29,243,1,1,True,True,2891.2537499999994,2.842170943040401e-14,2.842170943040401e-14
30,55,1,1,True,True,1.1368683772161603e-13,2891.253749999999,1.1368683772161603e-13
30,58,1,0,False,False,2779.068968614427,112.18478138557231,112.18478138557231
30,99,1,0,False,False,62.143115099347995,2829.1106349006513,62.143115099347995
30,105,1,0,False,False,2752.819701333027,138.43404866697244,138.43404866697244
30,106,1,1,True,True,2891.25375,-1.1368683772161603e-13,-1.1368683772161603e-13
30,166,1,0,False,False,62.143115099347995,2829.1106349006513,62.143115099347995
30,237,1,0,False,False,2752.819701333027,138.43404866697244,138.43404866697244
30,243,1,1,True,True,2891.25375,-1.1368683772161603e-13,-1.1368683772161603e-13
